#,Player,Team,Abbr,Capped,Status,Price_Cr,Base_Price_Cr,Bat_MAT,Bat_INN,RUNS,BF,NO,HS,Bat_AVG,Bat_SR,HUNDREDS,FIFTIES,FOURS,SIXES,Bowl_MAT,OVERS,Bowl_RUNS,WKTS,BBI,Bowl_AVG,ECON,Bowl_SR,FOUR_WKTS,FIVE_WKTS,BBI_runs,BBI_wickets
33,Azmatullah Omarzai,Punjab Kings,PBKS,Capped,Auctioned,2.4,1.5,10.0,5.0,57.0,41.0,1.0,21.0,14.25,139.02,0.0,0.0,6.0,3.0,9.0,27.0,279.0,8.0,33/2,34.87,10.33,20.25,0.0,0.0,33.0,2.0
34,Sam Curran,Chennai Super Kings,CSK,Capped,Auctioned,2.4,2.0,5.0,5.0,114.0,84.0,0.0,88.0,22.8,135.71,0.0,1.0,11.0,4.0,5.0,12.0,133.0,1.0,34/1,133.0,11.08,72.0,0.0,0.0,34.0,1.0
35,Shahbaz Ahmed,Lucknow Super Giants,LSG,Capped,Auctioned,2.4,1.0,3.0,1.0,9.0,8.0,0.0,9.0,9.0,112.5,0.0,0.0,1.0,0.0,3.0,8.3,102.0,1.0,41/1,102.0,12.0,51.0,0.0,0.0,41.0,1.0
36,Mitchell Santner,Mumbai Indians,MI,Capped,Auctioned,2.0,2.0,13.0,8.0,40.0,33.0,6.0,18.0,20.0,121.21,0.0,0.0,2.0,3.0,13.0,39.3,313.0,10.0,11/3,31.3,7.92,23.7,0.0,0.0,11.0,3.0
37,Moeen Ali,Kolkata Knight Riders,KKR,Capped,Auctioned,2.0,2.0,6.0,2.0,5.0,14.0,0.0,5.0,2.5,35.71,0.0,0.0,0.0,0.0,6.0,16.0,136.0,6.0,23/2,22.66,8.5,16.0,0.0,0.0,23.0,2.0
38,Deepak Hooda,Chennai Super Kings,CSK,Capped,Auctioned,1.7,0.75,7.0,5.0,31.0,41.0,0.0,22.0,6.2,75.61,0.0,0.0,2.0,1.0,,,,,-,,,,,,,
39,Romario Shepherd,Royal Challengers Bengaluru,RCB,Capped,Auctioned,1.5,1.5,8.0,3.0,70.0,24.0,1.0,53.0,35.0,291.67,0.0,1.0,5.0,7.0,8.0,14.0,151.0,6.0,14/2,25.16,10.78,14.0,0.0,0.0,14.0,2.0
40,Jamie Overton,Chennai Super Kings,CSK,Capped,Auctioned,1.5,1.5,3.0,2.0,15.0,7.0,2.0,11.0,15.0,214.29,0.0,0.0,1.0,1.0,,,,,-,,,,,,,
41,Arshad Khan,Gujarat Titans,GT,Capped,Auctioned,1.3,,9.0,4.0,23.0,19.0,2.0,20.0,11.5,121.05,0.0,0.0,0.0,3.0,9.0,21.0,217.0,6.0,07/1,36.16,10.33,21.0,0.0,0.0,7.0,1.0
42,Vijay Shankar,Chennai Super Kings,CSK,Uncapped,Auctioned,1.2,0.3,6.0,5.0,118.0,91.0,2.0,69.0,39.33,129.67,0.0,1.0,8.0,3.0,,,,,-,,,,,,,
43,Kamindu Mendis,Sunrisers Hyderabad,SRH,Capped,Auctioned,0.75,0.75,5.0,5.0,92.0,69.0,1.0,32.0,23.0,133.33,0.0,0.0,7.0,2.0,5.0,7.0,60.0,2.0,04/1,30.0,8.57,21.0,0.0,0.0,4.0,1.0
44,Suryansh Shedge,Punjab Kings,PBKS,Uncapped,Auctioned,0.3,0.3,5.0,3.0,7.0,11.0,0.0,4.0,2.33,63.64,0.0,0.0,0.0,0.0,,,,,-,,,,,,,
45,Prince Yadav,Lucknow Super Giants,LSG,Uncapped,Auctioned,0.3,0.3,6.0,2.0,5.0,10.0,2.0,4.0,5.0,50.0,0.0,0.0,0.0,0.0,6.0,22.5,225.0,3.0,29/1,75.0,9.85,45.66,0.0,0.0,29.0,1.0
46,Musheer Khan,Punjab Kings,PBKS,Uncapped,Auctioned,0.3,0.3,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,27.0,1.0,27/1,27.0,13.5,12.0,0.0,0.0,27.0,1.0
